frame,ms
0,272.646245
1,170.687285
2,252.998733
3,213.90205400000002
4,140.699563
5,233.683997
6,144.674387
7,218.194845
8,206.790552
9,198.328749
10,152.817761
11,250.389502
12,158.308224
13,207.62697699999998
14,183.167874
15,185.93124799999998
16,231.550753
17,155.124516
18,216.86871499999998
19,201.162546
20,174.32694500000002
21,223.390159
22,156.164106
23,230.26621
24,246.88058700000002
25,143.890684
26,255.762111
27,158.947395
28,186.08065200000001
29,202.271172
30,178.510454
31,228.827071
32,210.739633
33,162.30871
34,245.513442
35,173.367113
36,259.63432
37,179.550968
38,185.973924
39,219.673391
40,157.815392
41,233.479421
42,128.37259
43,229.374466
44,158.818132
45,186.938382
46,187.464697
47,163.469477
48,223.033046
49,172.61530199999999
50,155.609594
51,177.18514199999998
52,207.16382
53,123.320172
54,205.141079
55,160.00154999999998
56,167.502397
57,200.21030100000002
58,162.95701400000002
59,170.043215
60,211.426505
61,154.51669700000002
62,163.239005
63,207.599819
64,114.937817
65,204.238979
66,155.111458
67,195.30553700000002
68,158.881162
69,173.88831499999998
70,133.62321799999998
71,205.984631
72,143.544492
73,178.420659
74,198.516578
75,133.08802
76,194.145229
77,208.228693
78,126.291448
79,192.073259
80,137.51959499999998
81,195.782886
82,182.27880299999998
83,174.513859
84,157.207822
85,211.08949099999998
86,156.756595
87,159.572476
88,169.384399
89,178.754019
90,151.437191
91,208.593393
92,130.30161
93,163.841193
94,208.412049
95,165.51315
96,159.496154
97,215.468368
98,171.381199
99,179.97849699999998
100,185.028347
101,145.929242
102,208.627912
103,157.936038
104,206.287088
105,198.528451
106,120.583357
107,180.04617100000002
108,182.975324
109,130.030723
110,159.251056
111,191.101505
112,111.635416
113,171.034355
114,176.494212
115,160.848997
116,165.175129
117,171.231771
118,152.693925
119,129.470293
120,161.943374
121,116.500271
122,151.72329000000002
123,154.822951
124,150.97499
125,147.952376
126,127.73784999999998
127,137.552901
128,122.739774
129,131.69360899999998
130,147.33193599999998
131,140.96825099999998
132,124.106078
133,131.509492
134,127.643798
135,131.576816
136,136.69367599999998
137,120.407768
138,143.817636
139,129.276018
140,134.20331399999998
141,157.7744
142,152.038487
143,128.148463
144,129.785703
145,137.10948100000002
146,123.066174
147,132.993794
148,145.31181500000002
149,129.70403199999998
150,128.04921
151,138.39085500000002
152,138.034719
153,137.973041
154,140.302797
155,125.12675700000001
156,122.671891
157,124.10162399999999
158,118.514702
159,120.434748
160,139.075072
161,136.226088
162,140.633829
163,145.49724899999998
164,128.227953
165,125.37589699999998
166,123.46009400000001
167,138.806837
168,140.63395400000002
169,139.208599
170,144.39499999999998
171,138.680452
172,140.23422
173,143.009557
174,141.601908
175,133.149381
176,146.378284
177,149.934345
178,136.06163800000002
179,121.694602
180,137.777656
181,151.497397
182,141.260107
183,123.32869600000001
184,150.137354
185,152.44100799999998
186,108.52463399999999
187,147.189042
188,152.147616
189,121.13078300000001
190,138.36261199999998
191,138.997444
192,148.539883
193,122.825774
194,130.22367100000002
195,130.72460999999998
196,128.659467
197,139.649382
198,123.811064
199,142.403614
200,153.604486
201,153.220968
202,158.338384
203,152.881717
204,121.548402
205,163.457348
206,158.42925599999998
207,158.42498999999998
208,162.781267
209,129.141256
210,145.518864
211,124.976879
212,156.54398799999998
213,149.41306100000003
214,146.47637999999998
215,165.684638
216,132.934886
217,133.04808200000002
218,167.896352
219,146.858638
220,163.387148
221,163.306396
222,135.900041
223,147.190324
224,139.757362
225,165.68508500000002
226,125.883555
227,149.440619
228,175.615466
229,150.77592
230,137.93456600000002
231,174.538801
232,176.79859100000002
233,136.84064600000002
234,173.56823599999998
235,181.53517
236,125.80487200000002
237,177.310175
238,163.8344
239,135.31113
240,178.426355
241,180.647696
242,152.352137
243,181.045705
244,153.191338
245,138.158317
246,186.600708
247,151.975314
248,142.497272
249,194.534424
250,177.278585
251,177.005644
252,199.427775
253,167.684042
254,142.596013
255,164.25275
256,148.24427
257,165.855197
258,190.190401
259,134.915336
260,187.028826
261,202.685672
262,118.685637
263,193.573813
264,188.83597899999998
265,149.852897
266,218.227742
267,169.866996
268,152.864473
269,212.522277
270,214.454055
271,153.687014
272,228.106356
273,131.147705
274,222.96754199999998
275,174.26704900000001
276,157.358634
277,243.03972900000002
278,175.33737699999998
279,166.49018800000002
280,240.781006
281,139.047222
282,253.089388
283,190.088506
284,239.37238399999998
285,158.106449
286,228.83989699999998
287,194.384737
288,187.256352
289,216.13511999999997
290,186.12814699999998
291,207.19179300000002
292,233.231187
293,144.079355
294,273.979787
295,204.481816
296,187.714426
297,233.094661
298,157.425069
299,268.5256
300,174.666514
301,254.219998
302,160.04839900000002
303,259.39241699999997
304,193.657942
305,219.875547
306,201.366671
307,258.580836
308,220.31779300000002
309,227.06667
310,253.45895499999997
311,198.859701
312,284.20701199999996
313,195.480411
314,266.49675
315,234.382852
316,268.436016
317,215.176489
318,268.171608
319,220.197812
320,289.465086
321,227.24176200000002
322,273.666956
323,237.53205799999998
324,288.381706
325,238.463795
326,264.11577600000004
327,262.699515
328,250.270546
329,246.383939
330,243.098474
331,244.79806200000002
332,245.970147
333,250.090522
334,255.07252800000003
335,265.732232
336,278.841494
337,276.75133
338,247.724375
339,306.06698900000004
340,260.87552200000005
341,276.643747
342,273.986088
343,261.352599
344,256.567929
345,271.781131
346,291.47448799999995
347,268.004316
348,287.914787
349,257.027518
350,318.49973
351,284.87103
352,273.390449
353,285.956562
354,289.096234
355,287.272287
356,275.433874
357,288.54556599999995
358,298.87327400000004
359,266.762239
360,275.84036899999995
361,276.861222
362,300.612629
363,302.328822
364,278.715386
365,306.019533
366,274.67795
367,304.02322799999996
368,338.499986
369,278.531212
370,284.05501
371,308.814802
372,309.724958
373,305.530847
374,286.34004400000003
375,340.368338
376,314.788572
377,317.236523
378,323.359634
379,304.898283
380,301.647687
381,313.31236
382,312.963301
383,345.312136
384,339.796836
385,297.198869
386,340.087335
387,306.621086
388,296.368585
389,319.89763999999997
390,330.68802200000005
391,305.068964
392,287.82114199999995
393,287.95633300000003
394,341.703623
395,324.236356
396,293.703837
397,310.621626
398,309.18617
399,317.463519
400,320.876162
401,327.303204
402,350.010612
403,318.347954
404,288.03061
405,317.257411
406,322.195723
407,288.947873
408,318.31089499999996
409,341.967445
410,317.208412
411,318.244782
412,319.974196
413,292.428846
414,320.314379
415,317.5358
416,465.604246
417,345.241884
418,341.440238
419,354.56124500000004
420,383.12057799999997
421,368.831212
422,380.94341799999995
423,511.970138
424,590.238723
425,618.72498
426,614.1010679999999
427,447.706221
428,375.530599
429,372.739456
430,421.00557399999997
431,396.111226
432,391.571124
433,419.73064
434,364.43219500000004
435,442.988775
436,456.332862
437,392.24027700000005
438,333.111073
439,336.99769499999996
440,368.508484
441,342.84975499999996
442,393.537952
443,341.362612
444,382.205781
445,346.90707999999995
446,384.31379100000004
447,376.897466
448,409.201954
449,357.30828199999996
450,388.904162
451,388.410483
452,393.713731
453,397.797415
454,402.248061
455,407.037521
456,412.797593
457,406.300524
458,438.644923
459,425.39793199999997
460,390.299898
461,431.55648
462,428.09717
463,410.38385100000005
464,437.106111
465,463.406612
466,466.65254600000003
467,445.90889
468,448.610733
469,425.104736
470,458.242168
471,476.997738
472,485.187483
473,463.391646
474,439.923422
475,443.898621
476,477.99149600000004
477,501.44955899999997
478,480.14136
479,487.84981
480,489.77831100000003
481,509.63468
482,494.62212500000004
483,495.602895
484,497.994308
485,521.419718
486,506.09374799999995
487,499.653918
488,502.85424199999994
489,503.758508
490,506.699874
491,509.211187
492,512.248146
493,521.794473
494,503.53768600000006
495,528.188745
496,532.032216
