frame,ms
0,72.791258
1,56.52523
2,53.988704999999996
3,53.999401000000006
4,56.131384
5,53.811459
6,54.689986000000005
7,53.771919000000004
8,55.360839
9,55.633916
10,53.77588299999999
11,54.196
12,53.780649
13,54.065929
14,55.273084
15,52.682863000000005
16,55.434376
17,54.687459000000004
18,54.196365
19,54.654456999999994
20,54.081035
21,58.040687
22,54.517461000000004
23,54.293682000000004
24,51.941406
25,55.874106
26,53.319439
27,53.450969
28,53.315673000000004
29,52.004781
30,57.407224
31,52.330278
32,50.596163
33,54.397998
34,51.313055000000006
35,53.529394
36,49.881856
37,52.881885
38,50.03978
39,50.121674999999996
40,51.710343
41,50.31789
42,50.486641999999996
43,50.52793
44,49.904307
45,47.85651300000001
46,52.207404
47,46.841552
48,47.727007
49,43.922903
50,45.176395
51,46.30153
52,46.382543999999996
53,46.067904999999996
54,45.974346
55,41.53792
56,43.763154
57,43.417459
58,42.3814
59,44.068227
60,42.716523
61,41.541501000000004
62,43.619406
63,43.616229
64,45.156529
65,41.396993
66,41.010723
67,44.030726
68,44.468462
69,46.909432
70,41.089439
71,41.362348
72,42.614628
73,42.675888
74,44.489642
75,40.698163
76,41.462343
77,46.807237
78,44.140046000000005
79,42.269393
80,40.588991
81,43.201378
82,42.500361
83,45.722655
84,40.982656999999996
85,40.767479
86,41.305656000000006
87,45.054516
88,43.832156
89,43.814738999999996
90,39.874683000000005
91,42.506246999999995
92,44.460185
93,42.977873
94,39.948854
95,41.595575000000004
96,43.396425
97,41.863564
98,43.99691
99,39.368786
100,41.302758000000004
101,43.387767000000004
102,43.966602
103,39.096578
104,39.117772
105,42.015024
106,40.941665
107,38.252323
108,38.982749999999996
109,41.054604000000005
110,41.172555
111,35.82051
112,36.566925
113,40.326581
114,35.2543
115,34.078669999999995
116,39.637631999999996
117,32.755989
118,34.345279999999995
119,41.916183000000004
120,36.881465000000006
121,32.90632
122,33.445719
123,29.354485
124,31.558952
125,28.948562
126,28.886465
127,30.844929999999998
128,28.333296
129,31.724992
130,27.36699
131,31.793329000000004
132,29.542658
133,28.416096
134,31.286282999999997
135,27.995138
136,31.19504
137,28.749339
138,31.517227000000002
139,30.338144
140,30.337677
141,32.251097
142,28.458421
143,31.413168
144,27.535477
145,30.723948
146,28.304461
147,28.360203000000002
148,30.855283
149,27.802605
150,31.852368
151,26.067849
152,30.308067
153,25.682462
154,28.140697
155,25.630226
156,25.735568999999998
157,34.114349000000004
158,26.500511
159,30.398711
160,26.014046
161,27.69867
162,26.264785
163,27.738177999999998
164,26.895841
165,28.158067
166,29.45363
167,27.715237000000002
168,31.410337000000002
169,27.287012999999998
170,27.862667000000002
171,29.066602
172,27.807417
173,29.712722
174,27.127681
175,30.964125
176,28.405199999999997
177,30.965709
178,29.899628
179,28.638215000000002
180,31.838650000000005
181,29.053058
182,32.912797
183,28.709623999999998
184,32.215599999999995
185,29.571041
186,30.74897
187,30.894515000000002
188,28.441505999999997
189,32.175977
190,28.22295
191,30.344943
192,28.973682
193,29.833008
194,31.767008
195,27.413456999999998
196,30.646458000000003
197,27.38047
198,30.484908
199,32.263161
200,28.58039
201,32.417243
202,29.360253
203,33.216858
204,29.131377999999998
205,30.829507999999997
206,33.91453
207,29.992418999999998
208,32.776464
209,29.326361
210,33.526066
211,32.818272
212,29.733822
213,32.78284
214,31.556147
215,30.813441
216,33.68791
217,30.40897
218,33.358724
219,31.353636999999996
220,31.140506
221,34.211629
222,29.816759
223,32.631059
224,31.584135
225,31.825159999999997
226,35.78824
227,31.173904
228,33.842369
229,33.504622
230,31.506259
231,34.75624
232,32.80699
233,34.598389
234,45.320587
235,37.154239
236,34.261613000000004
237,35.069363
238,36.708628
239,32.900512
240,36.98819099999999
241,37.070358999999996
242,34.224215
243,36.48008
244,38.122394
245,34.67419
246,36.734086
247,39.117335000000004
248,37.016431000000004
249,38.483743000000004
250,40.805243999999995
251,38.878374
252,37.454578000000005
253,38.017634
254,41.286673
255,42.867048
256,38.810323000000004
257,39.485426
258,41.029326999999995
259,44.217151
260,39.656946999999995
261,39.908992
262,44.173434
263,42.453613000000004
264,39.755981000000006
265,40.172715
266,43.762184000000005
267,43.051092
268,43.477534999999996
269,43.108132
270,41.71144
271,44.679018
272,44.201337
273,44.680612
274,43.555967
275,44.696425
276,44.64652
277,47.18087
278,48.334463
279,48.930659
280,48.826324
281,50.793053
282,48.190883
283,49.229783999999995
284,46.865393999999995
285,48.445782
286,50.756485
287,51.10973
288,51.401112999999995
289,52.83922
290,51.837243
291,52.865928
292,53.870069
293,54.056174999999996
294,53.765093
295,53.891908
296,54.329437
297,57.125382
298,55.002573999999996
299,55.424241
300,55.713681
301,56.422635
302,57.283936
303,56.688159
304,57.463570999999995
305,57.624525000000006
306,59.16929
307,61.793129
308,57.558794000000006
309,61.748876
310,61.364429
311,62.329831
312,62.52128999999999
313,61.732088
314,78.11489
315,63.957605
316,63.665698000000006
317,66.08943500000001
318,66.092745
319,66.754827
320,66.19756
321,70.19831599999999
322,67.16274299999999
323,68.352495
324,70.047605
325,69.908267
326,69.821983
327,69.606978
328,72.987859
329,71.004777
330,72.43247699999999
331,73.50367800000001
332,73.035557
333,71.407973
334,74.11915400000001
335,72.8505
336,76.613782
337,77.748026
338,74.456266
339,74.191017
340,77.788351
341,75.42325699999999
342,78.99627100000001
343,78.69836400000001
344,77.053981
345,77.21137999999999
346,76.757885
347,81.016933
348,77.546576
349,81.916472
350,83.645836
351,79.052469
352,80.82149
353,83.353391
354,80.522068
355,80.445079
356,82.91335
357,82.58259799999999
358,81.851463
359,82.43370499999999
360,84.189884
361,89.704123
362,83.56562
363,85.464837
364,86.686319
365,87.879245
366,86.761002
367,85.251331
368,88.422044
369,85.164177
370,90.93890999999999
371,91.20200100000001
372,87.266594
373,89.155312
374,91.87639300000001
375,88.657081
376,91.177198
377,88.194397
378,89.46911300000001
379,88.89153499999999
380,90.596142
381,84.04730500000001
382,80.096971
383,87.942034
384,90.66714300000001
