frame,ms
0,56.706962
1,61.181597
2,59.06097200000001
3,56.611685
4,59.91869
5,59.256819
6,58.407315000000004
7,58.726575000000004
8,59.106054
9,65.801544
10,74.759672
11,57.861045
12,58.080685
13,59.277145000000004
14,58.416886
15,61.728178
16,79.890504
17,67.240126
18,58.328966
19,56.612567000000006
20,58.462879
21,59.488886
22,60.085975
23,58.241113999999996
24,58.662805
25,59.072603
26,58.151441999999996
27,57.452656
28,59.902511
29,59.263979
30,61.488679
31,59.935885
32,57.013838
33,58.581177999999994
34,55.881662999999996
35,57.247066
36,57.090145
37,57.707487
38,56.474191
39,55.552509
40,55.399868
41,55.796251
42,55.376692999999996
43,54.544616
44,54.763065
45,52.913067
46,57.75975
47,58.48192
48,51.63509
49,51.348017000000006
50,51.340663
51,50.281734
52,49.652422
53,49.935610999999994
54,45.606693
55,49.083817
56,49.223273
57,48.035888
58,45.826366
59,46.438016
60,47.350576
61,46.521609
62,47.280282
63,44.826624
64,45.896291
65,47.550724
66,48.163556
67,45.101741000000004
68,44.861748
69,45.279114
70,48.03951
71,45.434751000000006
72,44.206223
73,46.742805999999995
74,48.558975
75,48.054944
76,44.914587
77,45.305462999999996
78,48.470917
79,47.082046000000005
80,44.268043
81,44.955701
82,47.696289
83,47.159766999999995
84,46.353784000000005
85,43.50033
86,46.360371
87,47.048814
88,46.885388999999996
89,48.749434
90,58.012257
91,44.610965
92,45.945286
93,48.316706
94,44.654253999999995
95,44.722317
96,45.520333
97,47.383084
98,44.134749
99,44.11664
100,45.101696
101,45.49554
102,43.157168000000006
103,44.363085
104,46.595627
105,44.851169000000006
106,44.01787
107,40.868362
108,43.312061
109,43.005963
110,39.897525
111,41.117147
112,41.252828
113,37.315188
114,40.040511
115,42.248408
116,36.106073
117,38.121877
118,35.333867999999995
119,34.740448
120,37.72531
121,31.682908
122,34.914552
123,32.071019
124,32.335174
125,32.249809
126,31.265848
127,35.236405
128,30.170779
129,35.17032
130,30.512327
131,31.919554
132,32.040805999999996
133,30.829613
134,35.148396
135,30.574844
136,34.396784
137,30.45132
138,34.606731
139,30.817225999999998
140,34.198958000000005
141,31.9158
142,31.537537999999998
143,33.774787
144,31.985639000000003
145,33.913475
146,31.030815999999998
147,32.660612
148,29.463542
149,32.496926
150,28.486608999999998
151,31.206656
152,27.999570000000002
153,30.616764
154,32.587886000000005
155,29.398409
156,27.70051
157,29.080220999999998
158,28.362964
159,30.415785
160,29.609713
161,29.070136
162,30.697199
163,29.983471
164,33.412429
165,29.364767
166,31.793806
167,28.924569
168,33.046513
169,29.678197
170,33.161046999999996
171,29.099014
172,33.383624
173,29.405810000000002
174,34.408661
175,30.362088
176,31.860933
177,32.687456
178,31.671491000000003
179,31.919967
180,32.066478000000004
181,33.87605
182,31.052574999999997
183,34.002835000000005
184,31.557477
185,33.782474
186,30.690805
187,31.534226999999998
188,32.977486999999996
189,31.437571
190,32.768319
191,32.176919
192,33.485493999999996
193,29.886277
194,33.414181
195,29.918407000000002
196,33.291175
197,36.918072
198,36.451123
199,44.927181
200,36.929133
201,32.52744199999999
202,35.491929
203,31.735338000000002
204,35.12477
205,31.606855000000003
206,35.895573
207,33.413485
208,33.794189
209,34.548552
210,32.363557
211,35.477706
212,31.702142000000002
213,35.299130999999996
214,33.760318999999996
215,33.676641000000004
216,36.22176399999999
217,32.996911
218,36.385666
219,31.960397
220,34.991939
221,38.216996
222,32.893640000000005
223,39.867596999999996
224,40.994803000000005
225,34.425382
226,36.05313
227,33.738017
228,36.952532000000005
229,34.853466
230,37.43241
231,37.592582
232,35.752837
233,40.870519
234,37.395392
235,35.101884999999996
236,39.077776
237,36.406818
238,36.949989
239,42.767101000000004
240,37.110674
241,38.059593
242,41.032496
243,37.421637000000004
244,39.514726
245,42.173281
246,39.362646
247,39.45465900000001
248,42.554149
249,41.861728
250,40.374179000000005
251,45.849544
252,43.430305000000004
253,40.461048
254,44.306175
255,44.03183799999999
256,45.248169
257,41.23520499999999
258,44.910768
259,45.805994000000005
260,43.329795999999995
261,41.544382
262,46.448916
263,44.512167999999996
264,44.873021
265,44.881611
266,45.984921
267,45.45703
268,45.627584
269,46.854318
270,47.746584
271,48.218049
272,47.268808
273,46.536672
274,48.525427
275,49.880868
276,51.369494
277,50.475156
278,48.607266
279,50.677461
280,51.753794
281,52.014434
282,54.475497
283,53.597246
284,54.141619
285,56.328673
286,54.823666
287,52.84057000000001
288,55.246929
289,54.970974999999996
290,57.209168
291,56.812584
292,58.917701
293,58.291852
294,58.336254
295,59.237059
296,60.565555
297,59.368677
298,59.987041
299,60.882873
300,62.751232
301,61.615514000000005
302,59.171341000000005
303,63.42557
304,61.885888
305,63.855746
306,63.640885
307,62.96251999999999
308,64.834487
309,65.513238
310,67.213511
311,65.40484500000001
312,67.783435
313,70.500694
314,68.591025
315,70.030808
316,69.256632
317,72.535679
318,70.49117100000001
319,70.456609
320,72.377196
321,75.693206
322,73.243057
323,75.60393599999999
324,73.16912500000001
325,76.052337
326,78.359219
327,77.40294
328,77.9615
329,80.175833
330,76.975881
331,78.295807
332,78.572148
333,80.41716100000001
334,79.109211
335,80.34134599999999
336,81.517963
337,81.01989499999999
338,78.692046
339,82.797105
340,82.18359699999999
341,81.683297
342,82.296701
343,84.752022
344,84.918492
345,87.242272
346,83.550843
347,85.125583
348,85.478769
349,86.548016
350,86.707881
351,87.589686
352,85.556212
353,87.066886
354,85.377765
355,90.444047
356,88.374501
357,92.748267
358,87.722797
359,92.191133
360,90.043631
361,91.92083
362,92.890918
363,92.57860699999999
364,93.343857
365,90.514367
366,93.458436
367,89.899226
368,95.854144
369,94.36968900000001
370,94.109321
371,92.386228
372,94.53698100000001
373,93.156606
374,95.18976699999999
375,92.99026
376,98.968958
377,93.007345
378,99.418678
379,97.44028300000001
380,96.705149
381,97.070974
382,96.523974
383,99.775655
384,96.859464
385,97.564594
386,99.674606
387,97.611954
388,98.354441
389,97.359767
390,100.372689
391,100.206053
392,97.276031
393,99.52215699999999
394,96.83509099999999
395,98.41066900000001
396,100.103562
397,98.764105
398,99.621127
399,96.636111
400,99.512445
401,102.811338
402,98.637115
403,101.67802900000001
404,98.30702
405,98.77010299999999
406,101.188204
407,97.031795
408,103.46682
409,99.900004
410,98.429058
411,103.952642
